C,gamma,train,test,clf_rbfSVC
1,1.00E-09,none,0.529424753,none
1,1.00E-08,none,0.529424753,none
1,1.00E-07,none,0.529424753,none
1,1.00E-06,none,0.529424753,none
1,1.00E-05,none,0.82206571,none
1,1.00E-04,none,0.82715194,none
1,1.00E-03,none,0.833578254,none
1,1.00E-02,none,0.843880154,none
1,1.00E-01,none,0.850184642,none
1,1,none,0.85291811,none
1,10,none,0.853885103,none
10,1.00E-09,none,0.529424753,none
10,1.00E-08,none,0.529424753,none
10,1.00E-07,none,0.529424753,none
10,1.00E-06,none,0.822080938,none
10,1.00E-05,none,0.827159554,none
10,1.00E-04,none,0.833136635,none
10,1.00E-03,none,0.841847185,none
10,1.00E-02,none,0.848281113,none
10,1.00E-01,none,0.853390185,none
10,1,none,0.854440933,none
10,10,none,0.855278486,none
100,1.00E-09,none,0.529424753,none
100,1.00E-08,none,0.529424753,none
100,1.00E-07,none,0.822027639,none
100,1.00E-06,none,0.82715194,none
100,1.00E-05,none,0.833060494,none
100,1.00E-04,none,0.840415731,none
100,1.00E-03,none,0.846118704,none
100,1.00E-02,none,0.850862299,none
100,1.00E-01,none,0.854372406,none
100,1,none,0.855133818,none
100,10,none,0.855438383,none
1000,1.00E-09,none,0.529424753,none
1000,1.00E-08,none,0.823207827,none
1000,1.00E-07,none,0.826885446,none
1000,1.00E-06,none,0.83305288,none
1000,1.00E-05,none,0.840240606,none
1000,1.00E-04,none,0.843788784,none
1000,1.00E-03,none,0.847908021,none
1000,1.00E-02,none,0.852940953,none
1000,1.00E-01,none,0.854372406,none
1000,1,none,0.855796246,none
